ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.9824561403508771,0.9955882352941177,0.975609756097561,1.0,0.9876543209876543,0.958238460361173
Decision Tree,0.9473684210526315,0.9727941176470588,0.9743589743589743,0.95,0.9620253164556962,0.877101011293492
KNN,0.9298245614035088,0.9897058823529412,0.95,0.95,0.95,0.8323529411764706
Naive Bayes,0.9649122807017544,0.9941176470588236,0.975,0.975,0.975,0.9161764705882353
Random Forest,0.9649122807017544,0.9970588235294118,0.975,0.975,0.975,0.9161764705882353
XGBoost,0.9649122807017544,0.9941176470588236,0.975,0.975,0.975,0.9161764705882353
